id_bon,total_value,cart_size,distinct_products,day_of_week,is_weekend,hour,7Up Lemon Lime 0.33L,Aqua Carpatica Minerala 0.5L,Aqua Carpatica Plata 0.5L,Arugula Salad with Cherry Tomatoes and Parmesan,Baked potatoes,Blueberry Sauce,Breaded Chicken Schnitzel,Breaded Pork Schnitzel,Cheddar Sauce,Chicken Bao Buns,Chicken Schnitzel with Feta and Tomato Sauce,Crazy Fries with Cheddar Sauce,Crazy Fries with Cheddar Sauce and bacon,Crazy Fries with Parmesan,Crazy Pepperoni Schnitzel,Crazy Sauce,Crazy Schnitzel,Crazy peaches,Crispy Chicken Salad,Crispy Chicken Schnitzel,Extra Cheddar Sauce,Extra Lamaie,Extra bacon,Extra jalapeno,Extra parmezan,Fit Schnitzel with seeds,French Fries with Parmesan,French fries,Garlic Sauce,Green Fit Schnitzel,Healthy Green Fit Schnitzel,Healthy Red Fit Schnitzel,Healthy Salad with Chicken and Seeds,Jalapeno Pizza Schnitzel,Lipton Lemon Tea 0.33L,Mac & Cheese with Crispy Bacon,Mac & Cheese with Jalapeno and Tomato Sauce,Mac & cheease,Margherita Pizza Schnitzel,Mirinda Orange Can 0.33L,Mountain Dew 0.25L Doze,Packaging,Pepsi Cola 0.25L Doze,Pepsi Cola Can 0.33L,Pepsi Twist Can 0.33L,Pepsi Twist Zero Can 0.33L,Pepsi Zero Can 0.33L,Pink Sauce,Potatoes with Cheddar Sauce,Potatoes with Cheddar and Bacon Sauce,Potatoes with Feta,Prigat Still Orange 0.25L,Prigat Still Peach Apricot 0.25L,Red Fit Schnitzel,Snails with walnuts and meringue,Spicy Sauce,Tagliata Schnitzel,Tomato Sauce,Viennese Schnitzel
35214,80.19999999999999,5,5,5,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35215,80.19999999999999,4,4,5,0,12,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35216,143.4,9,8,5,0,12,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35217,2.0,1,1,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35218,58.2,4,4,5,0,12,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35219,144.3,9,6,5,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35220,29.9,2,2,5,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35221,60.2,5,5,5,0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35222,68.8,3,3,5,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35223,104.6,5,5,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
